date,Account,pnl
2024-08-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,227.072158
2024-08-12,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0
2024-08-12,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,-21.54374
2024-08-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0
2024-08-12,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,15206.395076
2024-09-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-826.349863
2024-09-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9949.501624
2024-09-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0
2024-09-05,0x4f93fead39b70a1824f981a54d4e55b278e9f760,1147.595856
2024-09-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0
2024-09-06,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0
2024-09-06,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0
2024-09-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,648.984412
2024-09-08,0x430f09841d65beb3f27765503d0f850b8bce7713,0.0
2024-09-08,0x4f93fead39b70a1824f981a54d4e55b278e9f760,11147.900554
2024-09-08,0x8477e447846c758f5a675856001ea72298fd9cb5,151.092375
2024-09-08,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,0.0
2024-09-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,6783.078347
